;;;;;;;;;;;;x;
EVTNAME202000;The Five Days of Milan;;;;;;;;;;;;x;
EVTDESC202000;Milan, capital of the Kingdom of Lombardy-Venetia and our most important foothold in Italy is occupied by rebells! Italian patriots have observed the ongoing unrest in our country and drove our garrisons out of the city. Popular uprisings are spreading in our Italian depencies, building barricades, raising flags with the Italian tricolore, and shouting their battle-cry for an unified Italy. After five days, the last Austrian soldier had to draw back. Our men fought bravely, but we had no chance - these rude traitors are now in complete control of the capital of Lombardy, celebrating these 'Five Days of Milan'. This may be the beginning of a dangerous turn in our Italian politics!;;;;;;;;;;;;x;
EVTOPTA202000;Send Radetzky!;;;;;;;;;;;;x;
EVTOPTB202000;We have no choice but to let them go.;;;;;;;;;;;;x;
EVTOPTA202003;Abdicate and make peace to prevent damage;;;;;;;;;;;;x;
EVTOPTB202003;We will never surrender! Viva il Re!;;;;;;;;;;;;x;
EVTOPTA202001;We will intervene. Long live Italy!;;;;;;;;;;;;x;
EVTOPTB202001;It is too dangerous.;;;;;;;;;;;;x;
EVTNAME202001;A Sardinian Intervention?;;;;;;;;;;;;x;
EVTDESC202001;In $YEAR$ revolutionary riots broke out in numerous places of Italy, as well in many other parts of Europe. Charles Albert in Piedmont  had been forced to make concessions to the democrats. With Vienna itself in revolt, both Milan  and Venice, the main cities of the Kingdom of Lombardy-Venetia, under Austrian rule, revolted. The situation was favorable for Sardinia, which would see the full support of the lombard patriots in Milan, if they intervened.;;;;;;;;;;;;x;
EVTOPTA202002;Rebels! Traitors! Bloody Italian Scum!;;;;;;;;;;;;x;
EVTNAME202002;The Italian War of Independence;;;;;;;;;;;;x;
EVTDESC202002;In $YEAR$ revolutionary riots broke out in numerous places of Italy, as well in many other parts of Europe. Charles Albert in Piedmont  had been forced to make concessions to the democrats. With Vienna itself in revolt, both Milan  and Venice, the main cities of the Kingdom of Lombardy-Venetia, under Austrian rule, revolted. The situation was favorable for Sardinia, which would see the full support of the lombard patriots in Milan. The Kingdom decided to exploit the moment, and attacked the weakened Austria in her Italian possessions. After a plebiscite, Milan was annexed by Sardinia, and a combined army beat the Austrians at Pastrengo. The War of Italian Independence had begun.;;;;;;;;;;;;x;
EVTNAME202003;The Fall of Milan;;;;;;;;;;;;x;
EVTDESC202003;The Fall of Milan was a huge blow to the Piedmontese army. The way to Turin lay open, Austrian forces had been reorganized and had rotted most of our armies. Sardinia is in a very delicate situation, and the total collapse of the country was imminent if the Austrians pressed their advance. The King, Charles Albert, has proposed that he abdicate the throne and return the provinces in Lombardy to Austria, in return for the return to the status quo;;;;;;;;;;;;x;
EVTNAME202004;Austria Wins the Italian War of Independence;;;;;;;;;;;;x;
EVTDESC202004;The Piedmontese ambitions have ended in a crushing defeat. The King of Sardinia has abdicated, Milan returned under rightful Austrian rule, and peace has been restored. The failure of nationalistic forces has been a huge setback for any potential union of Italian states. This is a glorious day for Austria!;;;;;;;;;;;;x;
EVTNAME202005;The Kingdom of Lombardy-Venetia;;;;;;;;;;;;x;
EVTDESC202005;A delegation of Italian nationalists, led by a man called Daniele Manin, has petitioned the congregation of Venetia regarding a 'Constitution', 'Independence of the Italian Kingdom' and other, trivial matters, regarding liberalism and democracy. Such ideas are rising in the Italian provinces. Cultural life in Milan and Venetia is full of propaganda against the government, and it seems, that Italian insolence has reached a new peak.;;;;;;;;;;;;x;
EVTNAME202006;Repubblica di San Marco;;;;;;;;;;;;x;
EVTDESC202006;After existing as an independent maritime republic for 100 years and a leading naval power in the Mediterranean for most of that time, the Republic of Venice surrendered to Napoleon during the French Revolutionary Wars in 1797 and was ceded to the Austrian Empire (as the kingdom of Lombardy-Venetia) by the Treaty of Campo Formio a few months later. Austrian rule, after realising that mutually-agreeable home rule would not be possible, exploited Venetian resources, economically and politically, favouring Trieste as the imperial seaport. Within 50 years of their acquisition of the former republic, Austria had taken 45 million Austrian lire more from the region than had been spent there and Venetian capitalism had been stifled by a reluctance on the part of the slow, bureaucratic Habsburg régime to grant credit to Venetian entrepreneurs. In the chaos of the springtime of nations,  Daniele Manin entered the Venetian Arsenal with 'a number of public-spirited Venetians', in a direct challenge to Austrian rule.;;;;;;;;;;;;x;
EVTNAME202007;The Serenissima is Back;;;;;;;;;;;;x;
EVTDESC202007;After 50 years of occupation, of humilation and ignorance, the day of salvation has come. The streets are filled with weeping old people, which saw the gonfalon, the banner with the winged lion in their days of youth, and now - once again - see him shining in the sun of a new future. The songs of our fathers are sung again, and the cry 'Viva San Marco!' is not prohibited anymore.Long live Venice, long live Saint Mark, long live the glory of our lion. Our patronsaint has rescued us, he didn't forget his own people - Venice, our beloved home, is free!;;;;;;;;;;;;x;
EVTNAME202008;Italian or Venetian?;;;;;;;;;;;;x;
EVTDESC202008;After the succesful War of Independence, one topic is present in every tavern: the future of Venice. Some want to be unified with Sardinia, becoming later a part of a new united Italian state. Others are more cautios, willing to wait until this new state evolves and the day of decision has come. A last group isn't willing to join any state, underlining, that Venice was and will be independent forever, as it was before.;;;;;;;;;;;;x;
EVTNAME202019;Sardinia Wins the Italian War of Independence;;;;;;;;;;;;x;
EVTDESC202019;This is a great day for nationalists, patriots and all opressed people in the world. The Italian people have won an important victory against Austria. Lombardy is now free from Habsburg oppression and is now under rightful Italian rule, people in Milan and Turin are celebrating, and the nation will remember this day of glory. \n\nHowever, this is just the first step in the heroic strugle for the unification of Italy, we must now turn our eyes to the rest of the peninsula!;;;;;;;;;;;;x;
EVTNAME202020;The Status Quo;;;;;;;;;;;;x;
EVTDESC202020;Sardinia has made a White peace with us. We should claim Milan, because it is still occupied by foreign troops. The international scene will agree.;;;;;;;;;;;;x;
EVTDESC202021;We have made a White peace with Austria. We must return Milan, because it was under Austrian rule before the war. The international scene will be upset, if we don't.;;;;;;;;;;;;x;
EVTNAME202022;Sardinia remains stubborn;;;;;;;;;;;;x;
EVTDESC202022;Sardinia doesn't return Milan - we must take it with force!;;;;;;;;;;;;x;
EVTNAME202024;Consequences;;;;;;;;;;;;x;
EVTDESC202024;The smashing defeat has serious consequences on our country. The abdication of our king provokes unrest. Advisers propose a new approach in our politics.;;;;;;;;;;;;x;
italico_valore;Italico Valore;;;;;;;;;;;;x;
italico_valore_desc;The support from our brothers helps us in our struggle for freedom.;;;;;;;;;;;;x;
EVTNAME202030;Inno delle nazioni;;;;;;;;;;;;x;
EVTDESC202030;For a musical jubilee, which was part of the International Exhibition of $YEAR$, the Italian composer Giuseppe Verdi prepared a cantata, called 'Inno delle nazione' (Hymn of the Nations), including  different hymns, representing three european countries: Great Britain (God save the King), France (La Marseillaise) and Italy (Fratelli d'Italia). The Inno delle nazione exalted the brotherhood of man, and became a huge success, when it was performed, making a lasting impression. This was not only true concerning Verdi's talent, but also true for the young nation state of Italy, which became a part of international affairs.;;;;;;;;;;;;x;
EVTNAME202009;Giuseppe Mazzini;;;;;;;;;;;;x;
EVTDESC202009;Giuseppe Mazzini, nicknamed 'The Beating Heart of Italy' was an Italian politician, journalist and activist for the unification of Italy. Mazzini was a member of the Carbonari, a secret association with political purposes. Later, he went to Marseille, where he became a popular figure to the other Italian exiles. He organized a new political society called La giovine Italia (Young Italy). Young Italy was a secret society formed to promote Italian unification. Mazzini believed that a popular uprising would create a unified Italy, and would touch off a European-wide revolutionary movement. Young Italy counted ca 60,000 adherents in 1833, with branches in Genoa and other cities. In that year Mazzini launched a first attempt of insurrection in Sardinia, which failed.  He organized another uprising for the following year. A group of Italian exiles were to enter Piedmont from Switzerland and spread the revolution there, and founded a new association with German and Polish refugees, called Young Europe. Austria and Sardinia put pressure on Switzerland to extradite Mazzini.;;;;;;;;;;;;x;
EVTDESC202011;Giuseppe Mazzini, nicknamed 'The Beating Heart of Italy' was an Italian politician, journalist and activist for the unification of Italy. Mazzini was a member of the Carbonari, a secret association with political purposes. Later, he went to Marseille, where he became a popular figure to the other Italian exiles. He organized a new political society called La giovine Italia (Young Italy). Young Italy was a secret society formed to promote Italian unification. Mazzini believed that a popular uprising would create a unified Italy, and would touch off a European-wide revolutionary movement. Young Italy counted ca 60,000 adherents in 1833, with branches in Genoa and other cities. In that year Mazzini launched a first attempt of insurrection in Sardinia, which failed.  He organized another uprising for the following year. A group of Italian exiles were to enter Piedmont from Switzerland and spread the revolution there, and founded a new association with German and Polish refugees, called Young Europe. Austria and Sardinia put pressure on Switzerland to extradite him, but Mazzini was able to escape, and moved to London.;;;;;;;;;;;;x;
EVTNAME202012;Mazzini Arrested;;;;;;;;;;;;x;
EVTDESC202012;Today, Giuseppe Mazzini - a figurehead of the nationalistic movements across Europe - was arrested by Sardinian policemen.;;;;;;;;;;;;x;
EVTNAME202013;Mazzini remains in exile;;;;;;;;;;;;x;
EVTDESC202013;We were not able to get Mazzini. He remains in exile.;;;;;;;;;;;;x;
EVTNAME202014;Pius IX;;;;;;;;;;;;x;
EVTDESC202014;The conclave of 1846, following the death of Pope Gregory XVI (1831–46), took place in an unsettled political climate within Italy. Because of this, many foreign Cardinals decided not to attend the conclave. At its start, only 46 out of 62 cardinals were present. Moreover, the conclave of 1846 was steeped in a factional division between conservatives and liberals. Faced with deadlock, liberals and moderates decided to cast their votes for Mastai-Ferretti in a move that contradicted the general mood throughout Europe. By the second day of the conclave, on 16 June 1846, during an evening ballot, Mastai-Ferretti was elected Pope.  As liberal Europe applauded his election, he introduced political reforms on a broad scale. For the next twenty months after the election, Pius IX was the most popular man on the Italian peninsula, where the exclamation 'Long life to Pius IX!' was often heard. His initial policies created quite a sensation among Italian patriots, both at home and in exile.;;;;;;;;;;;;x;
EVTNAME202015;The Roman Republic;;;;;;;;;;;;x;
EVTDESC202015;As a liberal and aware of the political pressures within the Papal States, his first act of a general amnesty for political prisoners did not consider its potential implications and consequences: The freed revolutionaries merely resumed their previous activities and his concessions only provoked greater demands as patriotic Italian groups sought not only a constitutional government, which he was sympathetic to, but also the Unification of Italy under his leadership and a war of liberation against Catholic Austria, which claimed the northern Italian provinces as its own. By early $YEAR$, all of Western Europe began to be convulsed in various revolutionary movements. The Pope, claiming to be above national interests, refused to go to war with Austria, which totally reversed the up to now popular view of him in his native Italy. In a calculated, well-prepared move, Rossi was assassinated on 15 November 1848, and in the days following, the Swiss Guards were disarmed, making the Pope a prisoner in his palace. A Roman Republic was declared.;;;;;;;;;;;;x;
