;;;;;;;;;;;;x;
PROV78;Fort Vancouver;;;;;;;;;;;;x
PROV744;Firenze;;;;;;;;;;;;x
PROV745;Livorno;;;;;;;;;;;;;;;;;;;x;
PROV749;Roma;;;;;;;;;;;;x
PROV724;Genova;;;;;;;;;;;;x
PROV726;Milano;;;;;;;;;;;;x
PROV754;Napoli;;;;;;;;;;;;x
PROV729;Venezia;;;;;;;;;;;;x
PROV720;Torino;;;;;;;;;;;;x
PROV731;Padova;;;;;;;;;;;;x
PROV3249;Riverside;;;;;;;;;;;;x
PROV129;Guymon;;;;;;;;;;;;x
PROV135;Llano Estacado;;;;;;;;;;;;x
PROV128;Hugoton;;;;;;;;;;;;x
PROV109;Pueblo;;;;;;;;;;;;x
PROV131;Oklahoma City;;;;;;;;;;;;x
PROV130;Fort Gibson;;;;;;;;;;;;x
PROV110;Rock Spring;;;;;;;;;;;;x
PROV111;Fort Bonneville;;;;;;;;;;;;x
PROV112;Fort Laramie;;;;;;;;;;;;x
